jurisdiction,booking_charge_desc,seriousness,category,type,notes,rcw,src,,,,,
pierce,DV CT ORD VIO 2X CONVICTIONS,,class C felony,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,DWI,,gross misdemeanor,public order,,46.61.502,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.502,,,,,
pierce,DWLS/DWLR,,misdemeanor,public order,can by gross misdemeanor,46.20.342,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.342,,,,,
pierce,DWLS/R 1ST/2ND,,gross misdemeanor,public order,,46.20.342,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.342,,,,,
pierce,ENDANG W/CONTR SUB,,class B felony,drug,,9A.42.100,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.100,,,,,
pierce,ENTRY ERROR,,other,other,,,,,,,,
pierce,ESCAPE 1,,class B felony,public order,,9A.76.110,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.110,,,,,
pierce,ESCAPE 2,,class C felony,public order,,9A.76.120,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.120,,,,,
pierce,ESCAPE 3,,misdemeanor,public order,can be gross misdemeanor or class C felony if priors,9A.76.130,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.130,,,,,
pierce,ESCAPE COMMUNITY CUSTODY,,class C felony,public order,,72.09.310,https://app.leg.wa.gov/rcw/default.aspx?cite=72.09.310,,,,,
pierce,ESCAPE FROM CUSTODY,,class C felony,public order,"same as Escape 1-3, could also be class B",9A.76.110,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.110,,,,,
pierce,EXPOSE MINOR TO DV,,gross misdemeanor,public order,Auburn WA Statute ,http://www.codepublishing.com/WA/Auburn/html/Auburn09/Auburn0926.html,http://www.codepublishing.com/WA/Auburn/html/Auburn09/Auburn0926.html,,,,,
pierce,EXTOR 1,,class B felony,violent,,9A.56.120,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.120,,,,,
