jurisdiction,booking_charge_desc,seriousness,category,type,notes,rcw,src,,,,,
pierce,UNLAWFUL USE OF A FORTIFED BLDG,,class C felony,drug,,69.53.030,http://app.leg.wa.gov/rcw/default.aspx?cite=69.53.030,,,,,
pierce,UPCS,,class C felony,drug,,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,UPCS (MJ) NON,,unknown,drug,"unclear as to MJ, if it is marijuana it depends on the gram amount",,,,,,,
pierce,UPCS (MJ) PERS,,unknown,drug,"unclear as to MJ, if it is marijuana it depends on the gram ",,,,,,,
pierce,UPCS BY PERSON NOT A PRISONER,,class C felony,drug,don't know why this is specified ,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,UPCS LEGEND W/O PRESCRIPTION,,misdemeanor,drug,,69.41.030,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030,,,,,
pierce,UPCS W INTENT,,class C felony,drug,,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,URINATE IN PUBLIC,,civil infraction,public order,,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html,,,,,,
pierce,URINATING IN PUBLIC,,civil infraction,public order,,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html,,,,,
pierce,URINATING IN PUBLIC(SIP),,civil infraction,public order,,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html,,,,,
pierce,UU BLDG DRUGS,,class C felony,drug,,69.53.010,http://app.leg.wa.gov/rcw/default.aspx?cite=69.53.010,,,,,
pierce,UUW,,civil infraction,public order,"unlawful use of weapon, unlawful but charge not specified ",7.48.155,http://app.leg.wa.gov/RCW/default.aspx?cite=7.48.155,,,,,
pierce,VEH ASLT,,class B felony,violent,,46.61.522,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.522,,,,,
pierce,VEH HOMICIDE,,class A felony,violent,,46.61.520,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.520,,,,,
pierce,VEH OPR -REF COMPLY POLICE,,misdemeanor,public order,,46.61.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020,,,,,
pierce,VEH OPR-REFUSE COMPLY POLICE,,misdemeanor,public order,,46.61.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020,,,,,
pierce,VEH PROWL,,class C felony,property,,9a.52.100,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.52.100,,,,,
pierce,VEH/PED INTERFERENCE-OBSTRUCT TR,,misdemeanor,public order,illegal but charge not specified,46.61.570,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.570,,,,,
pierce,VEHICLE OPR-REFUSE COMPLY POLICE,,misdemeanor,public order,,46.61.020,https://app.leg.wa.gov/rcw/default.aspx?cite=46.61.020,,,,,
pierce,VEHICLE PROWL 2ND,,class C felony,property,,9a.52.100,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.52.100,,,,,
pierce,VEHICLE PROWLING 2ND DEGREE,,class C felony,property,,9a.52.100,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.52.100,,,,,
pierce,VIO ANTI HARRASS,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIO NC ORD /DV,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIO NO CONTACT ORDER,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIO ORDER RESTRICTING CONTACT,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIO PROT OR /DV,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIO REST OR /DV,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIO TRIP PERMIT,,gross misdemeanor,public order,,46.16A.320,http://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.320,,,,,
pierce,VIO. PROT. ORD - NON-DV,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIOL CIV ANTI-HAR ORDER,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIOL COUNTY/MUNI CRT ORD,,civil infraction,public order,,,,,,,,
pierce,VIOL COURT ORD /DV,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIOL DISTRUB CS TO MINOR UNDER 18,,class C felony,public order,assume class C felony as with other controlled substances violations but no specific findings ,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,VIOL FOREIGN PROT ORD,,civil infraction,public order,considered a crime but no charge given,26.52.070,http://app.leg.wa.gov/RCW/default.aspx?cite=26.52.070,,,,,
pierce,VIOL N/C ORDER,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIOL NARC,,class C felony,drug,not specific,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,VIOL OF SENTENCE/NCO DV,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIOL PROT ORD,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIOL PROT ORD - NON DV,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIOL PROTECTION OR/DV,,gross misdemeanor,public order,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,VIOLATION OF OCCUPATIONAL LICENSE,,gross misdemeanor,public order,,46.20.342,,,,,,
pierce,VOYEURISM -1 (C),,class C felony,sex,,9A.44.115,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.44.115,,,,,
pierce,VUCSA CONSPIRACY,,class C felony,drug,assume class C felony as with other UCSA crimes ,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401,,,,,
pierce,WEAPONS POSS BY INTOXICATED PERSON,,misdemeanor,public order,,,,,,,,
pierce,WEAPONS POSS- PRISONER CO/LOC INST,,class B felony,public order,,9.94.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9.94.040,,,,,
pierce,WEAPONS POSS-PRISONER STATE INST,,class B felony,public order,,9.94.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9.94.040,,,,,
pierce,WEAPONS PROHIBITED IN CERTAIN PLACE,,gross misdemeanor,public order,,9.41.300,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.300,,,,,
pierce,WEAPONS-SELL/MAKE/BUY/POSSESS,,unknown,public order,no charge found,9.41.040,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.040,,,,,
pierce,WEAPONS-UNL CARRY/SELL,,unknown,public order,no charge found ,9.41.040,http://app.leg.wa.gov/RCW/default.aspx?cite=9.41.040,,,,,
pierce,WILLFULLY KILL/BE CRUEL TO ANIMALS,,gross misdemeanor,public order,,9.08.070,,,,,,
