,jurisdiction,booking_charge_desc,charge_count,seriousness,category,type,magda notes,notes,rcw,src
53,pierce,ASLT CHILD 3RD,33,,class C felony,violent,,,9A.36.140,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.140
879,pierce,MAL MISCH,32,,class B felony,property,ambiguous,see above degrees for information ,,
601,pierce,FEL POSS DANGEROUS WEAPON,31,,gross misdemeanor,public order,,RCW says this would be a gross misdemeanor but the charge name implies felony ,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040
1073,pierce,PHYS CONTROL,31,,gross misdemeanor,public order,,,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504,http://app.leg.wa.gov/rcw/supdefault.aspx?cite=46.61.504
202,pierce,CHILD MOLEST 3,30,,class C felony,sex,,,9A.44.089,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.089
296,pierce,CRIM TRESP /DV,30,,gross misdemeanor,property,can be simple misd.,,,
387,pierce,DISORDERLY CONDUCT,30,,misdemeanor,public order,,,9A.84.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030
1316,pierce,RETAIL THFT W/EXT CIRCUMSTANCES 2,30,,class C felony,property,,,9A.56.360,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.360
1576,pierce,UNLAW POS PAY INSTR,30,,class C felony,public order,,,9A.56.320,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.320
1580,pierce,UNLAWFUL BUS CONDUCT,30,,misdemeanor,public order,,,9.91.025,http://app.leg.wa.gov/rcw/default.aspx?cite=9.91.025
47,pierce,ASLT 3 / DV,27,,class C felony,violent,,not sure if DV changes seriousness?,9a.36.031,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.36.031
984,pierce,NVOL W/O ID,27,,misdemeanor,public order,,?,46.20.005,http://apps.leg.wa.gov/rcw/default.aspx?cite=46.20.005
1645,pierce,VEH HOMICIDE,27,,class A felony,violent,,,46.61.520,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.520
36,pierce,ARSON 2,26,,class B felony,property,,,9A.48.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.030
192,pierce,CARRYING A FIREARM - NO PERMIT,26,,civil infraction,public order,,?,9.41.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050
301,pierce,CRIM TRSP 2 /DV,26,,misdemeanor,property,,,9A.52.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.52.080
1110,pierce,POSSESS CNTRL SUBS-PENALTY,26,,class C felony,drug,,,69.50.4013,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.4013
523,pierce,EXPOSE MINOR TO DV,25,,gross misdemeanor,public order,,Auburn WA Statute ,http://www.codepublishing.com/WA/Auburn/html/Auburn09/Auburn0926.html,http://www.codepublishing.com/WA/Auburn/html/Auburn09/Auburn0926.html
1092,pierce,POSS LGND DRUG-NO PRESCRIPTION,25,,misdemeanor,drug,could be felony,,69.41.030,http://app.leg.wa.gov/rcw/default.aspx?cite=69.41.030
1506,pierce,TMVWOP 1,25,,class B felony,property,,TMWWOP=Taking Motor Vehicle WithOut Permission,9A.56.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.070
1693,pierce,VIOL OF SENTENCE/NCO DV,25,,gross misdemeanor,public order,looks like a probation violation,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
196,pierce,CCW,24,,civil infraction,public order,,?,9.41.050,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.050
513,pierce,ESCAPE 3,24,,misdemeanor,public order,,can be gross misdemeanor or class C felony if priors,9A.76.130,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.130
1067,pierce,PETTY THEFT /DV,24,,misdemeanor,property,,"theft in 3rd degree is considered ""petty theft"" according to the internet",9A.56.050,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050
1150,pierce,POSSESSION OF STOLEN MAIL,24,,class C felony,property,,,9A.56.380,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.380
474,pierce,DV CT ORD VIO 2X CONVICTIONS,23,,class C felony,public order,,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
804,pierce,INTIM W/ A WEAPON,23,,gross misdemeanor,violent,,,9.41.280,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280
805,pierce,INTIM W/WPN /DV,23,,gross misdemeanor,violent,,,9.41.280,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.280
1024,pierce,ORGANIZED RETAIL THEFT 1,23,,class B felony,property,,,9A.56.350,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.350
1115,pierce,POSSESS DRUG PARAPHERNALIA,23,,misdemeanor,drug,,,69.50.412,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412
1660,pierce,VEHICLE PROWLING 2ND DEGREE,23,,class C felony,property,,,9a.52.100,http://app.leg.wa.gov/rcw/default.aspx?cite=9a.52.100
35,pierce,ARSON 1,22,,class A felony,property,,violent?,9A.48.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.020
1079,pierce,POS WPN CAUSE HARM,22,,class C felony,violent,,,9.41.040,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.040
1199,pierce,RAPE 1,22,,class A felony,sex,,,9A.44.040,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.040
1201,pierce,RAPE 3,22,,class C felony,sex,,,9A.44.060,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.44.060
1373,pierce,STALKING,21,,gross misdemeanor,public order,,,9A.46.110,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.46.110
1555,pierce,UIBC,21,,gross misdemeanor/class C felony,property,,charge severity depends on amount check is worth UIBC=unlawful issuance of bank check ,9A.56.060,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.060
1629,pierce,URINATING IN PUBLIC,21,,civil infraction,public order,,,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html,http://www.codepublishing.com/WA/Pacific/html/Pacific09/Pacific0926.html
433,pierce,DRUG LOITERING PROHIBITED,20,,misdemeanor,public order,,Pierce Co citing RCW,http://www.codepublishing.com/WA/PierceCounty/html/PierceCounty09/PierceCounty0920.html#9.20.040,http://www.codepublishing.com/WA/PierceCounty/html/PierceCounty09/PierceCounty0920.html#9.20.040
606,pierce,FELONY STALKING,20,,class B felony,violent,,,9a.46.110,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.46.110
841,pierce,KIDNAPPING 2,20,,class B felony,violent,,,9A.40.030,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.40.030
895,pierce,MALICIOUS HARASSMENT,20,,class C felony,violent ,,,9a.36.080,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.36.080
930,pierce,MIN OPER VEH/ALC CONS,20,,misdemeanor,public order,,,46.61.503,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.503
1634,pierce,UUW,20,,civil infraction,public order,,"unlawful use of weapon, unlawful but charge not specified ",7.48.155,http://app.leg.wa.gov/RCW/default.aspx?cite=7.48.155
