booking_charge_desc,booking_charge_txt
COMM CUSTODY JAIL,VIO PROT OR
COMM CUSTODY JAIL,UPCS/FORGE
COMM CUSTODY JAIL,THEFT OF A MV
PUB DIST-BLDG/APARTMENT,
DUI WITH PRIOR CONVICTION,AMMENDED MINOR
POSS PSEUDOEPHEDRINE 15 + GRAMS,
ASLT 3,3RD
PROBAT HLD,RES BURG/THEFT 3
COMM CUSTODY JAIL,VUSCA DELIVER
FUGITIVE,PROB VIOL/ASSAULT
RES BURGLARY,ATEMPTED
COMM CUSTODY JAIL,ASLT 1 W/FIREARM
PROBAT HLD,CRIM TRES-REC BURN
ASLT/DV,4
PROBAT HLD,"SOL UPCS, VIOL PO"
PROBAT HLD,"PROT ORD, ASLT 4 D/V"
CRIM TRESP,1 ST
UNL POSS FIREARM 2,FEL POSS. F/A
POSSESS STOLEN VEHICLE,FTA PTC
RAPE 1,D/V
COMM CUSTODY JAIL,HIT AND RUN
THEFT 2,FTA SUMMONS
FUGITIVE,ASLT 3
RES BURGLARY,DRUG COURT
COMM CUSTODY JAIL,"I/D THEFT 2, FORGERY"
UPCS,DRUG CT
THEFT 2,DRUG CT
COMM CUSTODY JAIL,"IDENT THFT 2, UPCS"
ASLT 1,AGGRAVATED DV
IDENT THFT 2,THEFT 2 X2
CRIM TRESP 1,DV
POSS MARIJUANA - 40 GRAMS OR LESS,MINOR
FORGERY,NON FELONY
COMM CUSTODY JAIL,DV CRT ORD VIO
