booking_charge_desc,seriousness,category,type,notes,src,,,,,
DISCH FIREARM,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.230,,,,,
DISCH FIRWORK,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=70.77.488,,,,,
DISCHARGE OF FIREARMS PROHIBITED,,gross misdemeanor,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.230,,,,,
DISO PERS,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
DISO PERS/CONDUCT,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
DISORDERLY CONDUCT,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
DISORDERLY CONDUCT(SIP),,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
DISPLAY WEAPON,,gross misdemeanor,public order,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9.41.270,,,,,
DIST PEACE,,misdemeanor,public order,disorderly conduct,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.84.030,,,,,
DIST TABACCO W/O LICENSE,,class C felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=82.26.190,,,,,
DRIVE BY SHOOTING,,class B felony,violent,,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.045,,,,,
DRIVE W/LIC SUSPENDED/REVOKED,,misdemeanor,public order,can by gross misdemeanor,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.342,,,,,
DRUG LOITERING PROHIBITED,,misdemeanor,public order,Pierce Co citing RCW,http://www.codepublishing.com/WA/PierceCounty/html/PierceCounty09/PierceCounty0920.html#9.20.040,,,,,
DRUG PARA,,misdemeanor,drug,,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412,,,,,
